name,symbol,cap,market
데브시스터즈,194480,826,kosdaq
만도,204320,17515,kospi
프로스테믹스,203690,1918,kosdaq
감마누,192410,100,kosdaq
고려시멘트,198440,1097,kosdaq
판도라티비,202960,71,konex
서연이화,200880,1543,kospi
신화콘텍,187270,291,kosdaq
쿠쿠홀딩스,192400,7112,kospi
파버나인,177830,457,kosdaq
덕신하우징,090410,553,kosdaq
창해에탄올,004650,1181,kosdaq
윈하이텍,192390,376,kosdaq
아진엑스텍,059120,465,kosdaq
콜마비앤에이치,200130,7932,kosdaq
화인베스틸,133820,1077,kospi
에이비온,203400,841,konex
트루윈,105550,532,kosdaq
큐엠씨,136660,395,konex
데이터스트림즈,199150,121,konex
툴젠,199800,3792,konex
디오스텍,196450,1059,kosdaq
캐스텍코리아,071850,461,kosdaq
BGF,027410,5571,kospi
나노,187790,553,kosdaq
케이사인,192250,828,kosdaq
코스맥스,192820,7306,kospi
오이솔루션,138080,3730,kosdaq
인터파크,108790,1770,kosdaq
한국정보인증,053300,1152,kosdaq
유비온,084440,40,konex
솔루에타,154040,417,kosdaq
이지웰페어,090850,1066,kosdaq
위월드,140660,47,konex
씨이랩,189330,470,konex
씨티네트웍스,189540,108,konex
코셋,189350,66,konex
SGA솔루션즈,184230,506,kosdaq
대동고려삼,178600,245,konex
청광건설,140290,62,konex
기가레인,049080,873,kosdaq
인트로메딕,150840,1875,kosdaq
한중엔시에스,107640,178,konex
알티캐스트,085810,479,kosdaq
종근당,185750,9561,kospi
현대공업,170030,537,kosdaq
엔브이에이치코리아,067570,823,kosdaq
디엠티,134580,273,kosdaq
신송홀딩스,006880,500,kospi
큐브엔터,182360,1253,kosdaq
라이온켐텍,171120,1632,kosdaq
램테크놀러지,171010,897,kosdaq
THE MIDONG,161570,319,kosdaq
골프존데카,183410,61,konex
에이씨티,138360,1222,kosdaq
아세아시멘트,183190,3272,kospi
해성옵틱스,076610,612,kosdaq
내츄럴엔도텍,168330,1182,kosdaq
현대로템,064350,13685,kospi
수프로,185190,111,konex
테스나,131970,2534,kosdaq
파수닷컴,150900,376,kosdaq
LPK로보틱스,183350,66,konex
엘티씨,170920,857,kosdaq
지엔씨에너지,119850,711,kosdaq
한진칼,180640,19201,kospi
아미코젠,092040,5272,kosdaq
엔에이치엔,181710,12600,kospi
GH신소재,130500,320,kosdaq
파이오링크,170790,519,kosdaq
KG ETS,151860,1134,kosdaq
JB금융지주,175330,1617,kospi
나스미디어,089600,2705,kosdaq
하이골드12호,172580,358,kospi
대주이엔티,114920,65,konex
비나텍,126340,812,konex
에스에이티이엔지,158300,138,konex
에스엔피제네틱스,086460,64,konex
에프앤가이드,064850,440,konex
옐로페이,179720,43,konex
이엔드디,101360,233,konex
태양기계,116100,43,konex
엑세스바이오,950130,799,kosdaq
DSR,155660,730,kospi
레고켐바이오,141080,5491,kosdaq
한국패러랠,168490,1784,kospi
동아에스티,170900,8528,kospi
스타모빌리티,158310,337,kosdaq
윈팩,097800,682,kosdaq
코렌텍,104540,596,kosdaq
제로투세븐,159580,2374,kosdaq
아이원스,114810,741,kosdaq
우리이앤엘,153490,366,kosdaq
아이센스,099190,3579,kosdaq
포티스,141020,575,kosdaq
스킨앤스킨,159910,526,kosdaq
SBI핀테크솔루션즈,950110,2409,kosdaq
우리로,046970,632,kosdaq
디젠스,113810,191,kosdaq
지엠비코리아,013870,1018,kospi
맥스로텍,141070,389,kosdaq
와이엠씨,155650,846,kosdaq
CJ헬로,037560,4786,kospi
아바텍,149950,1249,kosdaq
동일고무벨트,163560,748,kospi
한국콜마,161890,1331,kospi
한국타이어앤테크놀로지,161390,44223,kospi
코이즈,121850,272,kosdaq
모다,149940,33,kosdaq
애경유화,161000,2512,kospi
하이골드8호,159650,308,kospi
나노스,151910,5567,kosdaq
AJ렌터카,068400,2525,kospi
엠씨넥스,097520,4286,kosdaq
네이블커뮤니케이션즈,153460,342,kosdaq
디지탈옵틱,106520,654,kosdaq
피엔티,137400,1256,kosdaq
바다로19호,155900,446,kospi
사조씨푸드,014710,1019,kospi
비아트론,141000,1127,kosdaq
하이골드3호,153360,286,kospi
코오롱머티리얼,144620,975,kospi
빛샘전자,072950,349,kosdaq
한국ANKOR유전,152550,1260,kospi
휴비스,079980,2187,kospi
사람인에이치알,143240,3490,kosdaq
뉴로스,126870,900,kosdaq
제룡산업,147830,604,kosdaq
남화토건,091590,1509,kosdaq
케이탑리츠,145270,421,kospi
메지온,140410,19945,kosdaq
원익머트리얼즈,104830,3423,kosdaq
디엔에이링크,127120,457,kosdaq
GS리테일,007070,3261,kospi
나이스디앤비,130580,1215,kosdaq
시큐브,131090,566,kosdaq
서암기계공업,100660,825,kosdaq
